reason_for_recall,reason_lower,reason_cat,n
Simply Balanced brand White Chili dry soup mix is recalled because it was contaminated with metal shavings.,simply balanced brand white chili dry soup mix is recalled because it was contaminated with metal shavings.,Foreign material,1
The firm was informed that they did not declare soy in their ingredient statement.,the firm was informed that they did not declare soy in their ingredient statement.,Undeclared allergen,1
Product does not meet regulatory standards for proper pasteurization.,product does not meet regulatory standards for proper pasteurization.,Other / Unspecified,1
Undeclared allergens: Milk and tree nut.,undeclared allergens: milk and tree nut.,Undeclared allergen,1
Presence of cathine in product,presence of cathine in product,Other / Unspecified,1
High Quality Organics was notified by customer that representative sample of Organic Ginger (Tea Bag Cut) tested positive for Salmonella,high quality organics was notified by customer that representative sample of organic ginger (tea bag cut) tested positive for salmonella,Bacterial pathogen contamination,1
Vitamin B6 level below percent declared on label,vitamin b6 level below percent declared on label,Other / Unspecified,1
"Nobel Bakery is recalling Apricot Perouk and Assorted cookies because they may contain undeclared wheat, milk, and soy lecithin.","nobel bakery is recalling apricot perouk and assorted cookies because they may contain undeclared wheat, milk, and soy lecithin.",Undeclared allergen,1
Germack Roasting  is voluntarily recalling its Dark Chocolate Almond Bark following a supplier's recall due to undeclared allergen milk.,germack roasting  is voluntarily recalling its dark chocolate almond bark following a supplier's recall due to undeclared allergen milk.,Undeclared allergen,1
Undeclared milk (lactose) allergen on labeling,undeclared milk (lactose) allergen on labeling,Undeclared allergen,1
"Undeclared allergens: Milk, soy, and wheat. Undeclared color additives: FD&C yellow #5, blue #1, red #40.","undeclared allergens: milk, soy, and wheat. undeclared color additives: fd&c yellow #5, blue #1, red #40.",Undeclared allergen,1
"Scheduled process deviation: Final pH of 4.61, 4.66, 4.69, 4.67.","scheduled process deviation: final ph of 4.61, 4.66, 4.69, 4.67.",Regulatory / GMP / Process deviation,1
"An ingredient, Tid-bit Potato, tested positive for Listeria monocytogenes.  The Tid-Bit Potatoes is an ingredient in Fiesta Breakfast Scramble","an ingredient, tid-bit potato, tested positive for listeria monocytogenes.  the tid-bit potatoes is an ingredient in fiesta breakfast scramble",Bacterial pathogen contamination,1
The Dough Shop is recalling one lot of pizza dough because a piece of vinyl glove was found in the product.,the dough shop is recalling one lot of pizza dough because a piece of vinyl glove was found in the product.,Foreign material,1
"Nobel Bakery is recalling Apricot Perouk and Assorted cookies because they may contain undeclared wheat, milk, soy lecithin.","nobel bakery is recalling apricot perouk and assorted cookies because they may contain undeclared wheat, milk, soy lecithin.",Undeclared allergen,1
Possible egg and wheat allergen cross-contact contamination during packaging.,possible egg and wheat allergen cross-contact contamination during packaging.,Undeclared allergen,1
Ingredient (mustard seeds) tested positive for Salmonella,ingredient (mustard seeds) tested positive for salmonella,Bacterial pathogen contamination,1
"Nobel Bakery is recalling Apricot Perouk and Assorted cookies because they may contain undeclared wheat, soy lecithin.","nobel bakery is recalling apricot perouk and assorted cookies because they may contain undeclared wheat, soy lecithin.",Undeclared allergen,1
Dark Chocolate walnuts were packed in a container labeled at Dark Chocolate Espresso Beans and does not declare walnuts as an allergen Bottom label  with nutritional information is correct for the Dark Chocolate Walnuts.,dark chocolate walnuts were packed in a container labeled at dark chocolate espresso beans and does not declare walnuts as an allergen bottom label  with nutritional information is correct for the dark chocolate walnuts.,Undeclared allergen,1
Ice cream contains undeclared soy lecithin and coconut oil,ice cream contains undeclared soy lecithin and coconut oil,Undeclared allergen,1
"Undeclared allergen: Milk. Undeclared color additives: FD&C red #5, red #6, blue #1, blue #5, blue #6.","undeclared allergen: milk. undeclared color additives: fd&c red #5, red #6, blue #1, blue #5, blue #6.",Undeclared allergen,1
The product was found to contain undeclared sulfites (268.8 ppm) based on sampling and analysis by New York State Department of Agriculture & Markets.,the product was found to contain undeclared sulfites (268.8 ppm) based on sampling and analysis by new york state department of agriculture & markets.,Undeclared allergen,1
Nobel Bakery is recalling Apricot Perouk and Assorted cookies because they may contain undeclared wheat.,nobel bakery is recalling apricot perouk and assorted cookies because they may contain undeclared wheat.,Undeclared allergen,1
Foreign object found in bottle.,foreign object found in bottle.,Other / Unspecified,1
Undeclared allergens: Milk and tree nuts. Undeclared color additive: FD&C blue #1.,undeclared allergens: milk and tree nuts. undeclared color additive: fd&c blue #1.,Undeclared allergen,1
"Product mislabeled- undeclared walnut, almond, milk, soy and egg.","product mislabeled- undeclared walnut, almond, milk, soy and egg.",Undeclared allergen,1
"Undeclared allergens: Milk, peanuts, and soy. Undeclared color additive: FD&C blue #1, blue #2, red #3.","undeclared allergens: milk, peanuts, and soy. undeclared color additive: fd&c blue #1, blue #2, red #3.",Undeclared allergen,1
The product is being recalled due to the potential presence of Salmonella.,the product is being recalled due to the potential presence of salmonella.,Bacterial pathogen contamination,1
"Zatarain's is initiating a voluntary recall of Zatarain's Red Beans And Rice Original 8 oz. package, USPC 7142909849 with date code of  BEST BY JUL 31 16Z as it may contain Creamy Parmesan Rice  Mix which has a dairy allergen (milk).","zatarain's is initiating a voluntary recall of zatarain's red beans and rice original 8 oz. package, uspc 7142909849 with date code of  best by jul 31 16z as it may contain creamy parmesan rice  mix which has a dairy allergen (milk).",Undeclared allergen,1
"Nobel Bakery is recalling Apricot Perouk and Assorted cookies because they may contain undeclared wheat, milk, Yellow#5, and sulfur dioxide.","nobel bakery is recalling apricot perouk and assorted cookies because they may contain undeclared wheat, milk, yellow#5, and sulfur dioxide.",Undeclared allergen,1
"Notified by customer of reports of illness after consuming tuna steaks,  found high levels of histamines.","notified by customer of reports of illness after consuming tuna steaks,  found high levels of histamines.",Chemical contamination / Toxins / Adulteration,1
potentially contaminated with peanut,potentially contaminated with peanut,Undeclared allergen,1
Calzone recalled due to potential metal contamination. Product manufactured for the National School Lunch Program.,calzone recalled due to potential metal contamination. product manufactured for the national school lunch program.,Foreign material,1
Tonkutsu Ramen may contain undeclared eggs.,tonkutsu ramen may contain undeclared eggs.,Undeclared allergen,1
"FDA sample analysis of ACTIRON Dietary Supplement, 100 Tablets, Lot 13309, found the product did not meet folic acid specification compared to the label claim.","fda sample analysis of actiron dietary supplement, 100 tablets, lot 13309, found the product did not meet folic acid specification compared to the label claim.",Other / Unspecified,1
seasoning may contain sesame,seasoning may contain sesame,Undeclared allergen,1
"Product is recalled due to consumer complaints for bloating of package, off flavors (sourness, tart), and textural issues (grittiness, lumpiness).","product is recalled due to consumer complaints for bloating of package, off flavors (sourness, tart), and textural issues (grittiness, lumpiness).",Other / Unspecified,1
